stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code
"208640","Frenchs Forest Rd at Romford Rd","-33.750675","151.240359","","","1",""
"208642","Frenchs Forest Rd opp Inverness Ave","-33.75112","151.24252","","","1",""
"208643","Frenchs Forest Rd opp Hurdis Ave","-33.75084","151.240447","","","1",""
"208644","Frenchs Forest Rd after Skyline Pl","-33.750436","151.237514","","","1",""
"208645","Nth Beaches Hospital, Frenchs Forest Rd","-33.749707","151.232335","","","1",""
"208646","The Forest High School, Frenchs Forest Rd, Stand B","-33.749474","151.230773","","","1",""
"208648","The Forest High School, Frenchs Forest Rd, Stand A","-33.749416","151.230379","","","1",""
"208649","Rabbett St at Forest Way","-33.750648","151.226219","","","1",""
"208652","Warringah Rd opp Rodborough Rd","-33.752933","151.239564","","","1",""
"208655","Wakehurst Pwy opp Yarraman Ave Walkway","-33.759296","151.232888","","","1",""
"208656","The Forest High School, Frenchs Forest Rd, Stand C","-33.749526","151.231126","","","1",""
"208663","Forest Way opp Forestway Shopping Centre","-33.75075","151.226074","","","1",""
"208664","Warrringah Rd at Bantry Bay Rd","-33.751905","151.232859","","","1",""
"208666","Warringah Rd after Rodborough Rd","-33.753103","151.238969","","","1",""
"208669","Warringah Rd opp Maxwell Pde","-33.754412","151.222741","","","1",""
"208670","Warringah Rd before Fitzpatrick Ave","-33.753414","151.224219","","","1",""
"208671","Forestway Shopping Centre, Forest Way","-33.749941","151.225058","","","1",""
"208697","Naree Rd before Rabbett St","-33.748512","151.225734","","","1",""
"208698","The Forest High School, Frenchs Forest Rd, Stand D","-33.749207","151.230166","","","1",""
"208711","Wakehurst Pwy opp Manly Warringah War Memorial Park","-33.769922","151.235141","","","1",""
"208712","Manly Warringah War Memorial Park, Wakehurst Pwy","-33.76987","151.235279","","","1",""
"208713","Wakehurst Pwy at Kirkwood St","-33.778643","151.238414","","","1",""
"208714","Warringah Rd at Starkey St","-33.76094","151.216992","","","1",""
"208733","Warringah Rd at Valley Rd","-33.763797","151.205758","","","1",""
"208734","Warringah Rd at Ryrie Ave","-33.762352","151.206836","","","1",""
"208735","Warringah Rd after Woodlands Rd","-33.759921","151.209607","","","1",""
"208736","Warringah Rd opp Melwood Ave","-33.759778","151.212147","","","1",""
"208737","Warringah Rd opp Darley St","-33.760016","151.213664","","","1",""
"208738","Warringah Rd after Ferguson St","-33.76063","151.21722","","","1",""
"208739","Warringah Rd after Brown St","-33.758501","151.219299","","","1",""
"208740","Warringah Rd before Altona Ave","-33.756417","151.220454","","","1",""
"208741","Warringah Rd at Maxwell Pd","-33.754746","151.222734","","","1",""
"208742","Warringah Rd opp Altona Ave","-33.756529","151.220733","","","1",""
"208743","Warringah Rd at Currie Rd","-33.759052","151.219331","","","1",""
"208752","Warringah Rd at Darley St","-33.760391","151.214034","","","1",""
"208753","Warringah Rd at Melwood Ave","-33.760067","151.211959","","","1",""
"208754","Warringah Rd before Forestville Ave","-33.760128","151.210207","","","1",""
"208755","Warringah Rd opp Laurel Ch","-33.762385","151.207224","","","1",""
